Medida_1,Medida_2,Medida_3,Medida_4,Medida_5,Medida_6,Medida_7,Desvio_1,Desvio_2,Desvio_3,Desvio_4,Desvio_5,Desvio_6,Desvio_7
7.7637,15.5608,16.6871,13.4461,9.7454,21.0468,10.4777,0.0293,0.7873,0.0413,0.0504,0.1099,0.2232,0.0377
7.7614,17.4815,16.7153,13.8981,9.7272,21.3851,10.5257,0.0275,0.5851,0.0544,0.4412,0.0601,0.5861,0.0367
7.8194,16.7463,16.7979,13.5129,9.7436,20.8914,10.4155,0.0369,0.9089,0.0435,0.0365,0.0311,0.0361,0.0224
7.9449,15.2097,17.366,14.6046,9.7436,20.7701,10.31,0.0541,0.1252,0.6857,0.6888,0.0328,0.0551,0.0676
7.8681,16.737,17.3748,14.5653,9.6316,19.856,10.5762,0.0347,0.3154,0.388,0.7244,0.0298,0.0525,0.0333
7.82,14.6392,16.7041,14.1203,9.7595,19.8988,10.7462,0.0338,0.1255,0.146,0.6666,0.0352,0.041,0.0529
7.8188,14.9933,16.6232,13.5299,9.848,19.9416,10.8593,0.0244,0.0928,0.1267,0.0819,0.0356,0.0483,0.0237
7.8235,15.1358,16.7006,13.422,9.9488,19.9334,10.5744,0.0259,0.997,0.1213,0.0381,0.0616,0.0482,0.0449
7.7303,17.4757,18.5468,13.4918,9.8509,19.9211,10.4355,0.0379,0.5608,0.9986,0.0769,0.0534,0.0394,0.0366
7.7743,17.5208,19.5863,13.6067,9.753,23.9214,10.5064,0.1528,0.4734,0.2025,0.1201,0.0859,0.0208,0.023
7.8739,16.4262,19.329,13.4602,9.8755,22.9517,10.633,0.0287,0.602,0.2168,0.0381,0.1229,0.146,0.0662
7.8587,16.6496,17.7442,13.4308,10.453,21.3892,10.5967,0.0238,0.7026,0.6291,0.046,0.0599,0.3049,0.1327
7.8194,16.3922,19.3295,13.4607,9.824,23.0865,10.6483,0.0335,0.9607,0.64,0.045,0.0307,1.0337,0.2196
7.8089,17.4763,17.1362,13.459,9.8333,21.045,11.2709,0.0371,0.6039,0.4376,0.038,0.0299,0.0289,0.899
7.8089,17.5027,17.1585,13.4531,9.7559,22.9523,10.6366,0.0641,0.2795,0.5906,0.0506,0.0328,0.9288,0.4486
8.2949,15.9836,17.8562,13.4408,9.8169,23.6693,10.6137,0.4579,0.2755,0.7664,0.0424,0.0225,0.3525,0.0439
7.8886,15.6441,18.5691,13.4326,9.7976,23.4764,10.5685,0.0247,0.36,0.6136,0.0387,0.021,0.6243,0.0413
7.8581,16.2339,19.095,13.4185,9.7941,23.8552,10.5697,0.019,0.0666,0.8341,0.033,0.0143,0.0237,0.0529
7.8429,15.7531,17.0793,13.4648,9.777,23.47,10.5592,0.0256,0.4374,0.5865,0.0402,0.0171,0.7191,0.0401
7.8734,16.1512,17.6439,13.4654,9.7729,21.2045,10.5867,0.0372,0.3649,0.6877,0.0271,0.0167,0.9399,0.0557
7.8341,16.2322,17.0143,13.4631,9.787,19.9797,10.9291,0.0406,0.2571,0.5399,0.0402,0.0193,0.0654,0.7057
7.7977,16.044,17.2406,13.4484,9.76,19.9211,10.5797,0.027,0.1765,0.6972,0.0372,0.0128,0.0627,0.0498
7.7532,15.2618,17.3057,13.4478,9.7741,21.5815,10.7181,0.0261,0.36,0.8933,0.0277,0.0102,1.4762,0.4358
7.7707,15.4389,17.6047,13.4484,9.7583,19.9727,10.5844,0.0289,0.4587,0.8169,0.0346,0.0203,0.2937,0.0347
7.847,16.0223,16.829,13.4414,9.7794,19.8883,10.6031,0.0269,0.3668,0.3487,0.036,0.0215,0.0359,0.0475
7.9056,15.195,16.6736,13.4437,9.7624,19.8642,10.5521,0.0292,0.4686,0.0927,0.0281,0.0229,0.0372,0.066
7.7901,15.3199,17.7178,13.4467,9.9606,19.8783,10.6072,0.0603,0.3786,0.9546,0.0463,0.0213,0.0268,0.053
7.7842,15.1375,16.9345,13.4801,9.7448,19.8736,10.6307,0.273,0.4198,0.3523,0.0259,0.0149,0.0387,0.0372
7.8411,16.2515,16.8372,13.3998,9.7454,19.8754,10.6237,0.0419,0.5064,0.084,0.0405,0.0232,0.02,0.0495
7.8053,16.1395,17.6269,13.4261,9.7636,19.8795,10.6049,0.0453,0.1016,0.8914,0.035,0.0101,0.031,0.0545
7.8223,16.0299,16.9263,13.4637,9.7823,19.9135,10.6119,0.057,0.0734,0.3791,0.0383,0.0233,0.0409,0.0424
7.7872,16.177,17.2758,13.4678,9.7888,19.8965,10.6084,0.0331,0.2588,0.8735,0.0414,0.0207,0.0293,0.0607
7.8393,17.0858,16.8988,13.4508,9.7595,19.8906,10.5539,0.1413,0.677,0.4638,0.0369,0.0222,0.0421,0.048
7.8212,16.1823,17.1485,13.4783,9.7776,19.893,10.5768,0.0542,0.5018,0.65,0.0437,0.0158,0.0341,0.0524
7.83,15.5878,17.043,13.4455,9.7823,19.8941,10.5902,0.0454,0.1606,0.5957,0.025,0.017,0.0345,0.0546
7.7936,16.2052,17.9043,13.4543,9.7876,19.8678,10.5709,0.0253,0.0449,0.6952,0.0408,0.0136,0.0467,0.0275
7.7948,15.6376,16.846,13.4437,9.7618,19.8889,10.6753,0.0286,0.1036,0.176,0.0427,0.0124,0.0519,0.4291
7.7977,16.0334,16.8659,13.4549,9.7296,19.8971,10.6283,0.0399,0.1074,0.3233,0.0271,0.021,0.0264,0.0531
7.7749,16.3688,16.8806,13.4449,9.7214,19.9065,10.6776,0.0433,0.0251,0.4116,0.0321,0.0229,0.0319,0.442
7.7842,16.2984,16.8835,13.4238,9.7196,19.8783,10.6993,0.0518,0.346,0.4306,0.0447,0.0196,0.0322,0.4371
7.7936,16.1208,16.7827,13.4379,9.7337,19.9065,10.6155,0.152,0.1191,0.0784,0.0349,0.019,0.0319,0.0601
7.7942,15.6916,16.8818,13.4619,9.729,19.8889,10.6659,0.0509,0.0512,0.344,0.0319,0.0114,0.0371,0.0592
7.7848,15.6382,17.386,13.4473,9.7542,19.8883,10.602,0.0505,0.0835,0.6821,0.0318,0.0145,0.0423,0.0515
7.7473,15.6699,16.9029,13.4467,9.7518,19.8836,10.6014,0.025,0.1192,0.4823,0.0405,0.019,0.0271,0.0578
7.7614,16.0357,16.7862,13.4555,9.7413,19.8953,10.884,0.0298,0.7061,0.214,0.0437,0.0175,0.0338,0.5838
7.7666,14.7869,16.7651,13.4543,9.7395,19.8783,10.6858,0.0393,0.5527,0.0409,0.0438,0.0167,0.0434,0.0563
7.7672,15.9959,16.7293,13.4414,9.743,19.8936,12.8909,0.0437,0.29,0.0574,0.0325,0.0204,0.0485,1.1698
7.7625,15.5345,16.873,13.4748,9.7471,19.8742,12.0982,0.0349,0.2595,0.384,0.0394,0.0139,0.0273,1.2926
7.7379,15.4987,17.1843,13.4455,9.7688,19.8965,14.0095,0.0351,0.3249,0.652,0.0391,0.0261,0.0333,0.6169
